cod_local; endereco_formatado; lat; lng
00962; R ESTADOS UNIDOS, 0, Sao Paulo, SP ; -23.5762711; -46.6582366 
00963; R DR PLINIO BARRETO, 0, Sao Paulo, SP ; -23.556975; -46.651433 
00968; AV EUSEBIO MATOSO, 0, Sao Paulo, SP ; -23.5715591; -46.6948518 
00971; AV CONCEICAO, 806, Sao Paulo, SP ; -23.5003449; -46.6055904 
00974; AV ENG CAETANO ALVARES, 0, Sao Paulo, SP ; -23.5137339; -46.6706418 
00976; AV SANTO AMARO, 0, Sao Paulo, SP ; -23.6099991; -46.6772352 
00984; AV AFRANIO PEIXOTO, 0, Sao Paulo, SP ; -23.5653265; -46.7128381 
00985; RUA MARIA CARLOTA, 395, Sao Paulo, SP ; -23.5250686; -46.5283945 
00986; R ANTONIO DE BARROS, 0, Sao Paulo, SP ; -23.529905; -46.560214 
00987; R DR DJALMA P.FRANCO, 0, Sao Paulo, SP ; -23.6482786; -46.6624739 
00995; AV ESCOLA POLITECNICA, 0, Sao Paulo, SP ; -23.5487872; -46.7326382 
00997; AV SAPOPEMBA, 3244, Sao Paulo, SP ; -23.573914; -46.5577068 
01000; AV LUIS D.VILLARES, 0, Sao Paulo, SP ; -23.5014157; -46.615276 
01001; AV RAIMUNDO PEREIRA MAGALHAES, 4653, Sao Paulo, SP ; -23.4887501; -46.7285114 
01004; AV ENG.CAETANO ALVARES, 0, Sao Paulo, SP ; -23.5137339; -46.6706418 
01011; AV LUIS D.VILLARES, 0, Sao Paulo, SP ; -23.5014157; -46.615276 
01014; AV IBIRAPUERA , 0, Sao Paulo, SP ; -23.5886102; -46.6481622 
01015; AV V.JOSE DINIS, 0, Sao Paulo, SP ; -23.6415738; -46.6981703 
01018; AV INTERLAGOS, 3493, Sao Paulo, SP ; -23.6808192; -46.6876311 
01021; R. N. SRA. DA LAPAPCA. MELVIN JONES, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01022; AV. SAO JOAO , 0, Sao Paulo, SP ; -23.5444048; -46.6365864 
01027; AV.PROF.ASCEND.REIS, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01031; AV. CRUZEIRO DO SUL, 0, Sao Paulo, SP ; -23.532586; -46.62523 
01032; AV. CRUZEIRO DO SUL, 0, Sao Paulo, SP ; -23.532586; -46.62523 
01036; AV. RUDGE, 0, Sao Paulo, SP ; -23.5273439; -46.6478727 
01037; AV.DR.CHUCRI ZAIDAN, 0, Sao Paulo, SP ; -23.614141; -46.6961995 
01038; AV. ENG. CAETANO ALVARES, 0, Sao Paulo, SP ; -23.5137339; -46.6706418 
01041; AV. MERCURIO, 0, Sao Paulo, SP ; -23.5448147; -46.6262907 
01043; R. CUBATAO, 0, Sao Paulo, SP ; -23.5722206; -46.6454338 
01044; AV. BRAZ LEME, 0, Sao Paulo, SP ; -23.5151808; -46.6536737 
01045; AV.AURO S.M.ANDRADE, 0, Sao Paulo, SP ; -23.5257; -46.6706 
01047; RUA MARIA CANDIDAAV. JOAQUINA RAMALHO, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01048; AV. JOAQUINA RAMALHO, 0, Sao Paulo, SP ; -23.5163862; -46.6082729 
01050; AV.LUIS D. VILLARES , 0, Sao Paulo, SP ; -23.5014157; -46.615276 
01051; AV.LUIS D. VILLARES , 0, Sao Paulo, SP ; -23.5014157; -46.615276 
01052; AV. ARICANDUVA , 0, Sao Paulo, SP ; -23.5379234; -46.5459813 
01053; AV. ARICANDUVA , 0, Sao Paulo, SP ; -23.5379234; -46.5459813 
01054; AV. OTTO BAUMGARTAV. ZAKI NARCHI, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01063; R. SILVA BUENOR.CLEMENTE PEREIRA, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
01065; AV.BRAZ LEME , 0, Sao Paulo, SP ; -23.5151808; -46.6536737 
01068; AV.ABRAAO MORAIS, 0, Sao Paulo, SP ; -23.6043941; -46.6261927 
01069; AV.ABRAAO MORAIS, 0, Sao Paulo, SP ; -23.6043941; -46.6261927 
01078; RUA VERGUEIRORUA DIDEROT, 0, Sao Paulo, SP ; -23.5505199; -46.6333094 
