Id Placa;AIT;Data_infracao;Hora_infracao;Cod_enq;Descricao_enq;Cod_local;Descricao_local;Cod_equip;Cod_serie_equip
573;FVA14248537;08/01/2014;18:19:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6521;R. MANUEL BUENO DA FONSECA, ALT. DO N. 300 - SENTIDO BAIRRO / CENTRO;6021;0426-BC 
596;RVA45286960;27/01/2014;16:54:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7527;AV. SALIM F. MALUF, OPOSTO R. FLORINDOBRAS (V.PRUDENTE/MARG.TIETE) FX 4, 5 E 6;6568;9904011-FX5 
598;CVA29006152;15/11/2013;14:32:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3422;AV. DOS BANDEIRANTES, ANTES DA AV.MIRUNA -SENTIDO IMIGRANTES/MARG.PINHEIROS;8480;175-FX2 
606;UVA20982785;30/11/2013;10:42:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4212;RUA VERGUEIRO, PROXIMO A RUA TAMOIO,SENTIDO CENTRO/BAIRRO;5102;436002
609;XVA16993173;03/01/2014;11:17:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;6009;AV. SADAMU INOUE, ALTURA DO N. 6291 - SENTIDO CENTRO/BAIRRO;5556;9902010-CB 
625;UVA19745082;27/10/2013;14:52:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4214;AV NACOES UNIDAS (LOCAL) SOB PONTE CIDADE JARDIM, SENTIDO INTERLAGOS/C. BRANCO;5114;500004
625;CRA39017515;23/12/2013;19:30:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3428;MARGINAL TIETE-PISTA CENTRAL-APÓS PTEJULIO DE MESQUITA NETO (C.BRANCO/A.SENNA);8499;176-FX3 
631;BRA19790425;13/11/2013;09:27:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1619;R. TEIXEIRA DA SILVA, N. 204 -SENTIDO JARDIM PAULISTA/BELA VISTA;3306;381-FX3 
631;LRA31541940;16/10/2013;09:15:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3236;RUA SENA MADUREIRA, ALTURA DO NUMERO1355 (SENTIDO IBIRAPUERA/VILA MARIANA);8284;243-FX2 
634;RVA45246984;26/01/2014;09:23:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7565;AV. ALCANTARA MACHADO, OPOSTO R.PLACIDINA (SENT.CENTRO/BAIRRO) FX 1,2 E 3;6663;9904043-FX3 
634;LRA32438620;19/12/2013;18:09:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;3235;AVENIDA INDIANOPOLIS, PROX. A ALAMEDADOS SORIMAS (SENT. IBIRAPUERA/JABAQUARA);8282;099-FX3 
634;TRA20341597;23/01/2014;17:35:00;57462;TRANSITAR EM LOCAL/HORARIO NAO PERMITIDO PELA REGULAMENTACAO - RODIZIO;1512;R CARLOS DE SOUSA NAZARE, N 180(SENTIDO SE/BRAS);3026;9903015-FX2 
634;LVA28356418;27/10/2013;03:20:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3222;AV PRES TANCREDO NEVES, ALT TRAV SANTIUGOLINO MICHELAZZO (SENT IMIGR/ANCHIETA);8246;214-FX2 
634;CVA28767036;27/10/2013;03:17:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;3404;AV. AFONSO D ESCRAGNOLE TAUNAY, APOSVD DANTE DELMANTO (SENT. MARG/IMIGRANTES);8405;159-FX2 
638;RVA42797548;22/10/2013;09:02:00;74550;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;7584;AV ARICANDUVA, PROX. R FUNILANDIA (SENTIDO MARG TIETE/S. MATEUS);6702;9904040-FX2 
